name,salary_from,salary_to,salary_currency,area_name,published_at
Senior/Middle Java Developer (remote),,300000,RUR,,2022-12-22T07:59:06+0300
Специалист в отдел информационных систем,45000,,RUR,Салехард,2022-12-22T07:42:34+0300
Специалист технической поддержки (системный администратор),30000,,RUR,Новосибирск,2022-12-22T07:35:37+0300
Архитектор АСУТП-MES-BI,,,,,2022-12-22T07:13:35+0300
"Специалист по ремонту и обслуживанию холодильного, вентиляционного и теплового оборудования",300000,300000,RUR,,2022-12-22T07:04:00+0300
Python-developer,100000,215000,RUR,,2022-12-22T07:58:28+0300
Техник по комплексному обслуживанию и ремонту зданий,60000,,RUR,,2022-12-22T07:27:55+0300
Рабочий по комплексному обслуживанию зданий и помещений,17571,18000,RUR,Миасс,2022-12-22T07:30:30+0300
Главный специалист по сетевому оборудованию,,,,,2022-12-22T07:13:37+0300
"Сервисный инженер (станки с программным управлением, в Москве и Московской области)",,,,Москва,2022-12-22T07:26:04+0300
Механик по ремонту оборудования,40000,50000,RUR,Белоярский городской округ,2022-12-22T07:21:53+0300
Механик цеха,35000,40000,RUR,Саратов,2022-12-22T07:15:03+0300
Инженер,60000,,RUR,Пермь,2022-12-22T07:55:10+0300
Программист 1C,,160000,RUR,,2022-12-22T07:30:06+0300
Графический дизайнер / web-дизайнер,,6000000,UZS,Ташкент,2022-12-22T07:14:50+0300
Консультант 1С,40000,50000,RUR,Екатеринбург,2022-12-22T07:23:00+0300
Инженер-программист / Системный администратор,,,,Новосибирск,2022-12-22T07:15:47+0300
